datetime,Residential,General,Educational,Industrial,Agricultural,Streetlights,Other,Total Electricity Usage
2013-04-01,"5,367,918,731","7,867,921,601","688,419,846","21,611,451,452","1,084,812,089","257,006,217","1,766,780,734","38,644,310,670"
2013-05-01,"5,023,967,281","7,327,011,936","552,768,899","21,849,518,131","909,890,855","238,462,770","1,200,608,978","37,102,228,850"
2013-06-01,"5,093,064,472","7,794,015,896","546,323,802","21,796,334,345","907,987,025","229,153,582","639,106,159","37,005,985,281"
2013-07-01,"5,408,448,270","8,758,022,171","623,539,444","22,397,716,429","908,424,797","219,423,373","462,257,062","38,777,831,546"
2013-08-01,"6,355,327,546","9,911,275,452","616,698,865","21,507,035,698","1,205,459,973","232,337,408","424,253,741","40,252,388,683"
2013-09-01,"5,709,767,759","8,772,781,251","601,688,086","21,520,231,157","1,182,178,035","247,633,400","386,405,022","38,420,684,710"
2013-10-01,"4,938,679,201","7,268,233,756","492,773,136","22,128,464,768","930,036,468","267,524,071","560,402,670","36,586,114,070"
2013-11-01,"5,225,423,375","7,497,396,361","592,826,691","22,038,499,385","1,301,532,365","289,196,725","1,208,877,572","38,153,752,474"
2013-12-01,"5,448,875,531","8,751,591,602","793,442,528","22,934,513,336","1,250,043,001","300,365,733","2,000,719,798","41,479,551,529"
2014-01-01,"5,819,531,482","9,707,046,443","774,689,382","22,843,771,177","1,455,407,423","307,491,988","2,440,069,135","43,348,007,030"
2014-02-01,"5,812,496,906","9,192,047,882","717,651,767","20,969,566,387","1,445,586,538","288,044,492","2,398,077,601","40,823,471,573"
2014-03-01,"5,079,728,661","8,117,003,892","675,854,281","22,964,739,951","1,259,154,538","265,468,703","1,870,127,552","40,232,077,578"
2014-04-01,"5,287,487,802","7,666,845,845","599,566,274","22,519,673,358","1,120,737,094","257,979,596","1,424,306,195","38,876,596,164"
2014-05-01,"4,967,137,001","7,190,632,102","488,547,964","22,250,173,480","957,939,256","240,844,610","914,565,901","37,009,840,314"
2014-06-01,"5,103,456,419","7,857,692,115","524,440,225","22,522,156,109","1,003,539,692","230,899,905","577,381,269","37,819,565,734"
