datetime,TotalPopulation,BusanPopulation,ChungcheongbukPopulation,ChungcheongnamPopulation,DaeguPopulation,DaejeonPopulation,GangwonPopulation,GwanguPopulation,GyeonggiPopulation,GyeongsangbukPopulation,GyeongsangnamPopulation,InchenPopulation,JejuPopulation,JeollanamPopulation,JeonbukPopulation,SeoulPopulation,UlsanPopulation
2006-07-01,49039942.82599919,3615542.949929752,1496028.3011989119,1976374.0654073015,2498568.931067373,1467599.380171137,1506899.9786497997,1409182.0064455306,10916754.722837487,2691220.140491253,3175976.236238968,2626971.0392240877,559045.0575095313,1944835.0898873152,1870201.7899390422,10191175.10597047,1093568.03103123
2006-08-01,49047974.73253495,3616135.114222294,1496273.3251283385,1976697.7617833226,2498978.1540593063,1467839.7479279938,1507146.7831746377,1409412.8064325494,10918542.701137519,2691660.916466712,3176496.406998134,2627401.2922921646,559136.6195585965,1945153.620716865,1870508.0971065098,10192844.24669992,1093747.138830089
2006-09-01,49056007.95456007,3616727.375501252,1496518.3891885073,1977021.5111752914,2499387.444074989,1468080.1550529914,1507393.6281218491,1409643.6442206714,10920330.972277913,2692101.7646337613,3177016.6629524026,2627831.615828359,559228.1966039645,1945472.2037163342,1870814.4544418692,10194513.660806164,1093926.275963752
2006-10-01,49064042.49228998,3617319.7337825084,1496763.4933859908,1977345.3135918903,2499796.8011253974,1468320.6015525768,1507640.5134980541,1409874.519816087,10922119.536306629,2692542.6850042236,3177537.0041157254,2628262.009844211,559319.788648091,1945790.8388942666,1871120.8619533365,10196183.348333973,1094105.442437023
2006-11-01,49072078.3459402,3617912.1890819524,1497008.6377273633,1977669.169041805,2500206.2252215114,1468561.0874331996,1507887.4393098748,1410105.433224989,10923908.39327164,2692983.677589925,3178057.43050206,2628692.474351265,559411.3956934329,1946109.526259209,1871427.3196491306,10197853.309328135,1094284.638254708
2006-12-01,49080115.515726246,3618504.741415474,1497253.8222191993,1977993.0775337208,2500615.7163743125,1468801.6127013096,1508134.4055639335,1410336.3844535707,10925697.543220924,2693424.742402694,3178577.9421253637,2629123.009361067,559503.017742447,1946428.2658197084,1871733.8275374703,10199523.543833436,1094463.8634216127
2007-01-01,49268928.0,3587439.0,1506608.0,1995531.0,2493261.0,1475659.0,1503806.0,1413444.0,11106211.0,2681364.0,3196953.0,2664576.0,559258.0,1929836.0,1862277.0,10192710.0,1099995.0
2007-02-01,49276997.410403214,3588026.5613446976,1506854.7567037132,1995857.833955294,2493669.353643321,1475900.6877851735,1504052.2977838856,1413675.4980288988,11108030.008008124,2681803.161707687,3197476.60639543,2665012.412119512,559349.5969254147,1930152.074234351,1862582.009221988,10194379.392118922,1100175.1604268006
2007-03-01,49285068.14243828,3588614.2189219263,1507101.5538219677,1996184.7214404177,2494077.774168007,1476142.4151546857,1504298.635907149,1413907.0339732282,11109849.313938748,2682242.395342575,3198000.2985486607,2665448.8957158886,559441.2088528442,1930468.200236273,1862887.0683992866,10196049.057655811,1100355.3503608073
2007-04-01,49293140.19632164,3589201.9727474465,1507348.3913613819,1996511.662464138,2494486.261585011,1476384.1821150195,1504545.0143763968,1414138.6078391972,11111668.917840663,2682681.700916443,3198524.076473737,2665885.4508008356,559532.8357847454,1930784.378014244,1863192.177540077,10197718.996655447,1100535.569806853
