week_range,TotalPopulation,BusanPopulation,ChungcheongbukPopulation,ChungcheongnamPopulation,DaeguPopulation,DaejeonPopulation,GangwonPopulation,GwanguPopulation,GyeonggiPopulation,GyeongsangbukPopulation,GyeongsangnamPopulation,InchenPopulation,JejuPopulation,JeollanamPopulation,JeonbukPopulation,SeoulPopulation,UlsanPopulation
2003-02-16~2003-02-22,48398711.05395006,3692351.943142633,1490000.9852031593,1913272.9524343605,2530165.478197505,1432647.897708193,1527409.1736826277,1396104.9217487047,10209358.69915909,2721500.475332737,3139788.2183014397,2570825.465408136,552432.6926560864,2018225.7317221807,1954910.1796820099,10176585.649197064,1073130.5903741238
2003-02-23~2003-03-01,48400692.612603314,3692503.116836818,1490061.989396893,1913351.2863918645,2530269.0692061977,1432706.5537297472,1527471.7094568098,1396162.0816136743,10209776.694651822,2721611.900052514,3139916.7687189593,2570930.721133672,552455.310567982,2018308.3626967631,1954990.2183668949,10177002.302882973,1073174.526899728
2003-03-02~2003-03-08,48402674.17125657,3692654.290531003,1490122.9935906266,1913429.6203493683,2530372.6602148903,1432765.2097513014,1527534.245230992,1396219.241478644,10210194.690144552,2721723.324772291,3140045.3191364785,2571035.976859208,552477.9284798775,2018390.9936713455,1955070.25705178,10177418.95656888,1073218.4634253322
2003-03-09~2003-03-15,48404259.677815594,3692775.2492940896,1490171.804938771,1913492.2977791848,2530455.546594997,1432812.1422540299,1527584.2820441728,1396264.976860069,10210529.141307164,2721812.4791476876,3140148.176313987,2571120.195230912,552496.0257729366,2018457.1092778475,1955134.2984868656,10177752.33411022,1073253.6184026585
2003-03-16~2003-03-22,48405845.18437462,3692896.2080571763,1490220.6162869153,1913554.9752090012,2530538.432975104,1432859.074756758,1527634.3188573534,1396310.7122414936,10210863.592469778,2721901.6335230847,3140251.0334914955,2571204.4136026152,552514.1230659958,2018523.2248843492,1955198.339921951,10178085.711651564,1073288.773379985
2003-03-23~2003-03-29,48407430.690933645,3693017.1668202635,1490269.4276350597,1913617.6526388174,2530621.3193552108,1432906.0072594865,1527684.3556705338,1396356.4476229185,10211198.04363239,2721990.7878984814,3140353.8906690045,2571288.631974319,552532.2203590547,2018589.340490851,1955262.3813570368,10178419.089192905,1073323.9283573113
2003-03-30~2003-04-05,48409016.197492674,3693138.12558335,1490318.238983204,1913680.330068634,2530704.205735318,1432952.9397622147,1527734.3924837145,1396402.1830043432,10211532.494795004,2722079.9422738785,3140456.747846513,2571372.8503460223,552550.3176521139,2018655.4560973528,1955326.4227921222,10178752.466734247,1073359.0833346378
2003-04-06~2003-04-12,48410601.704051696,3693259.084346437,1490367.0503313483,1913743.0074984503,2530787.0921154246,1432999.872264943,1527784.4292968952,1396447.918385768,10211866.945957616,2722169.096649275,3140559.6050240216,2571457.068717726,552568.414945173,2018721.5717038547,1955390.464227208,10179085.844275588,1073394.238311964
2003-04-13~2003-04-19,48412583.911849156,3693410.307564025,1490428.0745096123,1913821.3671175889,2530890.717059778,1433058.5475017834,1527846.9855573422,1396505.0969758937,10212285.07838263,2722280.55787098,3140688.1975537227,2571562.3589242725,552591.040266532,2018804.2297477436,1955470.529132184,10179502.634454213,1073438.1892308546
2003-04-20~2003-04-26,48414566.11964662,3693561.5307816127,1490489.098687876,1913899.7267367276,2530994.3420041315,1433117.2227386239,1527909.541817789,1396562.2755660196,10212703.210807644,2722392.0190926846,3140816.7900834237,2571667.649130819,552613.6655878909,2018886.8877916322,1955550.5940371603,10179919.424632838,1073482.1401497452
2003-04-27~2003-05-03,48416548.32744408,3693712.7539992,1490550.1228661397,1913978.0863558662,2531097.9669484855,1433175.8979754644,1527972.098078236,1396619.4541561452,10213121.34323266,2722503.4803143893,3140945.382613125,2571772.9393373653,552636.2909092499,2018969.545835521,1955630.6589421367,10180336.214811463,1073526.0910686355
2003-05-04~2003-05-10,48418530.53524154,3693863.977216788,1490611.1470444037,1914056.4459750047,2531201.591892839,1433234.5732123046,1528034.654338683,1396676.6327462709,10213539.475657674,2722614.941536094,3141073.975142826,2571878.2295439118,552658.916230609,2019052.20387941,1955710.7238471129,10180753.004990088,1073570.041987526
2003-05-11~2003-05-17,48420513.06769084,3694015.22520216,1490672.1812173873,1914134.818428113,2531305.2338091917,1433293.2580591482,1528097.220844779,1396733.8207012746,10213957.67656565,2722726.4210132463,3141202.5887337904,2571983.5369951986,552681.5452576098,2019134.8754612769,1955790.801865355,10181169.863431837,1073614.0001048276
2003-05-18~2003-05-24,48422495.60014014,3694166.4731875323,1490733.2153903712,1914213.190881221,2531408.875725544,1433351.9429059918,1528159.7873508749,1396791.0086562785,10214375.877473626,2722837.9004903985,3141331.2023247555,2572088.844446485,552704.1742846107,2019217.5470431438,1955870.8798835976,10181586.721873585,1073657.9582221291
2003-05-25~2003-05-31,48424478.132589445,3694317.721172904,1490794.249563355,1914291.5633343293,2531512.517641897,1433410.6277528354,1528222.3538569706,1396848.1966112824,10214794.078381604,2722949.3799675503,3141459.81591572,2572194.1518977717,552726.8033116114,2019300.2186250107,1955950.95790184,10182003.580315335,1073701.9163394307
2003-06-01~2003-06-07,48426460.66503875,3694468.969158276,1490855.2837363386,1914369.9357874375,2531616.1595582496,1433469.312599679,1528284.9203630665,1396905.384566286,10215212.27928958,2723060.8594447025,3141588.4295066847,2572299.4593490586,552749.4323386123,2019382.8902068776,1956031.0359200824,10182420.438757084,1073745.8744567323
2003-06-08~2003-06-14,48428046.950762205,3694589.9873640467,1490904.1190718112,1914432.6440187814,2531699.086671155,1433516.2681664159,1528334.9817658046,1396951.1424234188,10215546.894811304,2723150.0576331746,3141691.337231227,2572383.71910814,552767.538525212,2019449.0383045278,1956095.1088270077,10182753.980129927,1073781.0467102458
2003-06-15~2003-06-21,48429633.23648565,3694711.0055698175,1490952.9544072838,1914495.3522501253,2531782.0137840603,1433563.2237331527,1528385.043168543,1396996.9002805515,10215881.510333028,2723239.2558216467,3141794.2449557697,2572467.9788672216,552785.6447118117,2019515.1864021781,1956159.181733933,10183087.521502772,1073816.218963759
2003-06-22~2003-06-28,48431219.52220911,3694832.0237755883,1491001.7897427562,1914558.0604814691,2531864.9408969656,1433610.1792998894,1528435.104571281,1397042.658137684,10216216.125854751,2723328.4540101183,3141897.1526803127,2572552.2386263036,552803.7508984115,2019581.3344998283,1956223.2546408584,10183421.062875615,1073851.3912172725
2003-06-29~2003-07-05,48432805.807932556,3694953.041981359,1491050.6250782288,1914620.768712813,2531947.868009871,1433657.1348666262,1528485.1659740193,1397088.4159948167,10216550.741376474,2723417.6521985903,3142000.0604048553,2572636.498385385,552821.8570850112,2019647.4825974787,1956287.3275477837,10183754.60424846,1073886.5634707857
2003-07-06~2003-07-12,48434392.09365601,3695074.06018713,1491099.4604137014,1914683.476944157,2532030.795122776,1433704.090433363,1528535.2273767574,1397134.1738519494,10216885.356898198,2723506.8503870624,3142102.968129398,2572720.7581444667,552839.9632716109,2019713.6306951288,1956351.400454709,10184088.145621303,1073921.7357242992
2003-07-13~2003-07-19,48436375.27556853,3695225.357720242,1491160.5145810363,1914761.8750715107,2532134.4709914667,1433762.7945049359,1528597.8143791854,1397191.3805413113,10217303.69480575,2723618.3663840806,3142231.6238532397,2572826.100093709,552862.5997117164,2019796.3293596047,1956431.5047059278,10184505.140622847,1073965.7082419603
2003-07-20~2003-07-26,48438358.45748104,3695376.655253354,1491221.5687483712,1914840.2731988644,2532238.146860157,1433821.4985765084,1528660.4013816137,1397248.5872306733,10217722.032713303,2723729.882381099,3142360.279577081,2572931.4420429505,552885.2361518219,2019879.0280240807,1956511.6089571465,10184922.13562439,1074009.6807596213
2003-07-27~2003-08-02,48440341.63939355,3695527.952786466,1491282.622915706,1914918.6713262182,2532341.8227288476,1433880.202648081,1528722.988384042,1397305.7939200352,10218140.370620856,2723841.398378117,3142488.935300923,2573036.7839921927,552907.8725919273,2019961.7266885564,1956591.7132083653,10185339.130625933,1074053.6532772826
