week_range,Residential,General,Educational,Industrial,Agricultural,Streetlights,Other,Total Electricity Usage
2005-08-21~2005-08-27,4579079962.0,7080512353.5,350764327.0,14259402354.0,626479390.5,197226322.5,436587406.5,27530052116.0
2005-08-28~2005-09-03,4484812774.5,6895290390.75,355333665.0,14240299728.0,621686568.25,200557391.25,454443897.75,27252424415.5
2005-09-04~2005-09-10,4390545587.0,6710068428.0,359903003.0,14221197102.0,616893746.0,203888460.0,472300389.0,26974796715.0
2005-09-11~2005-09-17,4312629333.0,6433607997.0,349926703.25,14240059910.25,596087233.5,208014761.75,546565704.75,26686891643.5
2005-09-18~2005-09-24,4234713079.0,6157147566.0,339950403.5,14258922718.5,575280721.0,212141063.5,620831020.5,26398986572.0
2005-09-25~2005-10-01,4156796825.0,5880687135.0,329974103.75,14277785526.75,554474208.5,216267365.25,695096336.25,26111081500.5
2005-10-02~2005-10-08,4078880571.0,5604226704.0,319997804.0,14296648335.0,533667696.0,220393667.0,769361652.0,25823176429.0
2005-10-09~2005-10-15,4104603205.4,5598586693.0,328262611.8,14368114561.6,588381754.8,223243732.4,909026439.8,26120218998.8
2005-10-16~2005-10-22,4130325839.8,5592946682.0,336527419.6,14439580788.2,643095813.6,226093797.8,1048691227.6,26417261568.6
2005-10-23~2005-10-29,4156048474.2,5587306671.0,344792227.4,14511047014.8,697809872.4,228943863.2,1188356015.4,26714304138.4
2005-10-30~2005-11-05,4181771108.6,5581666660.0,353057035.2,14582513241.4,752523931.2,231793928.6,1328020803.2,27011346708.2
2005-11-06~2005-11-12,4207493743.0,5576026649.0,361321843.0,14653979468.0,807237990.0,234643994.0,1467685591.0,27308389278.0
2005-11-13~2005-11-19,4285961093.25,5807913003.0,382432522.0,14852094866.5,756966709.25,238710746.0,1699116804.0,28023195744.0
2005-11-20~2005-11-26,4364428443.5,6039799357.0,403543201.0,15050210265.0,706695428.5,242777498.0,1930548017.0,28738002210.0
2005-11-27~2005-12-03,4442895793.75,6271685711.0,424653880.0,15248325663.5,656424147.75,246844250.0,2161979230.0,29452808676.0
2005-12-04~2005-12-10,4521363144.0,6503572065.0,445764559.0,15446441062.0,606152867.0,250911002.0,2393410443.0,30167615142.0
2005-12-11~2005-12-17,4610299200.0,6663342424.75,441127991.5,15359054315.25,620807180.75,251803872.0,2534869066.75,30481304051.0
2005-12-18~2005-12-24,4699235256.0,6823112784.5,436491424.0,15271667568.5,635461494.5,252696742.0,2676327690.5,30794992960.0
