week_range,CO,Nox,Sox,TSP,PM-10,VOCs,NH3
2004-05-02~2004-05-08,807788287.1346154,1354378967.2884614,434269263.2692308,82969166.3076923,64077129.40384615,783895418.4807693,244801539.40384614
2004-05-09~2004-05-15,807249113.7307693,1353017402.4230769,433531918.46153843,83138875.38461539,64170429.192307696,783110447.0384616,244868612.19230768
2004-05-16~2004-05-22,806709940.3269231,1351655837.5576923,432794573.65384614,83308584.46153846,64263728.98076923,782325475.5961539,244935684.98076922
2004-05-23~2004-05-29,806170766.9230769,1350294272.6923077,432057228.84615386,83478293.53846154,64357028.76923077,781540504.1538461,245002757.76923078
2004-05-30~2004-06-05,805631593.5192307,1348932707.8269231,431319884.03846157,83648002.61538461,64450328.557692304,780755532.7115384,245069830.55769232
2004-06-06~2004-06-12,805092420.1153846,1347571142.9615386,430582539.2307692,83817711.6923077,64543628.34615385,779970561.2692307,245136903.34615386
2004-06-13~2004-06-19,804553246.7115384,1346209578.0961537,429845194.4230769,83987420.76923077,64636928.134615384,779185589.8269231,245203976.1346154
2004-06-20~2004-06-26,804014073.3076923,1344848013.2307692,429107849.61538464,84157129.84615384,64730227.92307692,778400618.3846154,245271048.92307693
2004-06-27~2004-07-03,803474899.9038461,1343486448.3653846,428370504.8076923,84326838.92307693,64823527.711538464,777615646.9423077,245338121.71153846
2004-07-04~2004-07-10,802935726.5,1342124883.5,427633160.0,84496548.0,64916827.5,776830675.5,245405194.5
2004-07-11~2004-07-17,802396553.0961539,1340763318.6346154,426895815.1923077,84666257.07692307,65010127.288461536,776045704.0576923,245472267.28846154
2004-07-18~2004-07-24,801857379.6923077,1339401753.7692308,426158470.38461536,84835966.15384616,65103427.07692308,775260732.6153846,245539340.07692307
2004-07-25~2004-07-31,801318206.2884616,1338040188.9038463,425421125.5769231,85005675.23076923,65196726.865384616,774475761.1730769,245606412.8653846
2004-08-01~2004-08-07,800779032.8846154,1336678624.0384614,424683780.7692308,85175384.3076923,65290026.65384615,773690789.7307693,245673485.65384614
2004-08-08~2004-08-14,800239859.4807693,1335317059.1730769,423946435.96153843,85345093.38461539,65383326.442307696,772905818.2884616,245740558.44230768
2004-08-15~2004-08-21,799700686.0769231,1333955494.3076923,423209091.15384614,85514802.46153846,65476626.23076923,772120846.8461539,245807631.23076922
2004-08-22~2004-08-28,799161512.6730769,1332593929.4423077,422471746.34615386,85684511.53846154,65569926.01923077,771335875.4038461,245874704.01923078
2004-08-29~2004-09-04,798622339.2692307,1331232364.5769231,421734401.53846157,85854220.61538461,65663225.807692304,770550903.9615384,245941776.80769232
2004-09-05~2004-09-11,798083165.8653846,1329870799.7115386,420997056.7307692,86023929.6923077,65756525.59615385,769765932.5192307,246008849.59615386
2004-09-12~2004-09-18,797543992.4615384,1328509234.8461537,420259711.9230769,86193638.76923077,65849825.384615384,768980961.0769231,246075922.3846154
2004-09-19~2004-09-25,797004819.0576923,1327147669.9807692,419522367.11538464,86363347.84615384,65943125.17307692,768195989.6346154,246142995.17307693
2004-09-26~2004-10-02,796465645.6538461,1325786105.1153846,418785022.3076923,86533056.92307693,66036424.961538464,767411018.1923077,246210067.96153846
2004-10-03~2004-10-09,795926472.25,1324424540.25,418047677.5,86702766.0,66129724.75,766626046.75,246277140.75
2004-10-10~2004-10-16,795387298.8461539,1323062975.3846154,417310332.6923077,86872475.07692307,66223024.538461536,765841075.3076923,246344213.53846154
2004-10-17~2004-10-23,794848125.4423077,1321701410.5192308,416572987.88461536,87042184.15384616,66316324.32692308,765056103.8653846,246411286.32692307
2004-10-24~2004-10-30,794308952.0384616,1320339845.6538463,415835643.0769231,87211893.23076923,66409624.115384616,764271132.4230769,246478359.1153846
2004-10-31~2004-11-06,793769778.6346154,1318978280.7884614,415098298.2692308,87381602.3076923,66502923.90384615,763486160.9807693,246545431.90384614
2004-11-07~2004-11-13,793230605.2307693,1317616715.9230769,414360953.46153843,87551311.38461539,66596223.692307696,762701189.5384616,246612504.69230768
2004-11-14~2004-11-20,792691431.8269231,1316255151.0576923,413623608.65384614,87721020.46153846,66689523.48076923,761916218.0961539,246679577.48076922
2004-11-21~2004-11-27,792152258.4230769,1314893586.1923077,412886263.84615386,87890729.53846154,66782823.26923077,761131246.6538461,246746650.26923078
2004-11-28~2004-12-04,791613085.0192307,1313532021.3269231,412148919.03846157,88060438.61538461,66876123.057692304,760346275.2115384,246813723.05769232
2004-12-05~2004-12-11,791073911.6153846,1312170456.4615386,411411574.2307692,88230147.6923077,66969422.84615385,759561303.7692307,246880795.84615386
2004-12-12~2004-12-18,790534738.2115384,1310808891.5961537,410674229.4230769,88399856.76923077,67062722.634615384,758776332.3269231,246947868.6346154
2004-12-19~2004-12-25,789995564.8076923,1309447326.7307692,409936884.61538464,88569565.84615384,67156022.42307693,757991360.8846154,247014941.42307693
2004-12-26~2005-01-01,789456391.4038461,1308085761.8653846,409199539.8076923,88739274.92307693,67249322.21153846,757206389.4423077,247082014.21153846
2005-01-02~2005-01-08,788917218.0,1306724197.0,408462195.0,88908984.0,67342622.0,756421418.0,247149087.0
2005-01-09~2005-01-15,789706072.2692307,1306113524.6153846,409193462.1923077,88896497.88461539,67293627.17307693,757147128.0192307,246928971.51923078
2005-01-16~2005-01-22,790494926.5384616,1305502852.2307692,409924729.38461536,88884011.76923077,67244632.34615384,757872838.0384616,246708856.03846154
2005-01-23~2005-01-29,791283780.8076923,1304892179.8461537,410655996.5769231,88871525.65384616,67195637.51923077,758598548.0576923,246488740.55769232
2005-01-30~2005-02-05,792072635.0769231,1304281507.4615386,411387263.7692308,88859039.53846154,67146642.6923077,759324258.0769231,246268625.07692307
2005-02-06~2005-02-12,792861489.3461539,1303670835.0769231,412118530.96153843,88846553.42307693,67097647.865384616,760049968.0961539,246048509.59615386
2005-02-13~2005-02-19,793650343.6153846,1303060162.6923077,412849798.15384614,88834067.3076923,67048653.038461536,760775678.1153846,245828394.1153846
2005-02-20~2005-02-26,794439197.8846154,1302449490.3076923,413581065.34615386,88821581.1923077,66999658.211538464,761501388.1346154,245608278.6346154
2005-02-27~2005-03-05,795228052.1538461,1301838817.9230769,414312332.53846157,88809095.07692307,66950663.384615384,762227098.1538461,245388163.15384614
2005-03-06~2005-03-12,796016906.4230769,1301228145.5384614,415043599.7307692,88796608.96153846,66901668.557692304,762952808.1730769,245168047.67307693
2005-03-13~2005-03-19,796805760.6923077,1300617473.1538463,415774866.9230769,88784122.84615384,66852673.73076923,763678518.1923077,244947932.19230768
2005-03-20~2005-03-26,797594614.9615384,1300006800.7692308,416506134.11538464,88771636.73076923,66803678.90384615,764404228.2115384,244727816.71153846
2005-03-27~2005-04-02,798383469.2307693,1299396128.3846154,417237401.3076923,88759150.61538461,66754684.07692308,765129938.2307693,244507701.23076922
2005-04-03~2005-04-09,799172323.5,1298785456.0,417968668.5,88746664.5,66705689.25,765855648.25,244287585.75
2005-04-10~2005-04-16,799961177.7692307,1298174783.6153846,418699935.6923077,88734178.38461539,66656694.42307692,766581358.2692307,244067470.26923078
2005-04-17~2005-04-23,800750032.0384616,1297564111.2307692,419431202.88461536,88721692.26923077,66607699.59615385,767307068.2884616,243847354.78846154
2005-04-24~2005-04-30,801538886.3076923,1296953438.8461537,420162470.0769231,88709206.15384616,66558704.76923077,768032778.3076923,243627239.30769232
2005-05-01~2005-05-07,802327740.5769231,1296342766.4615386,420893737.2692308,88696720.03846154,66509709.942307696,768758488.3269231,243407123.82692307
2005-05-08~2005-05-14,803116594.8461539,1295732094.0769231,421625004.46153843,88684233.92307693,66460715.115384616,769484198.3461539,243187008.34615386
2005-05-15~2005-05-21,803905449.1153846,1295121421.6923077,422356271.65384614,88671747.8076923,66411720.288461536,770209908.3653846,242966892.8653846
2005-05-22~2005-05-28,804694303.3846154,1294510749.3076923,423087538.84615386,88659261.6923077,66362725.461538464,770935618.3846154,242746777.3846154
2005-05-29~2005-06-04,805483157.6538461,1293900076.9230769,423818806.03846157,88646775.57692307,66313730.634615384,771661328.4038461,242526661.90384614
2005-06-05~2005-06-11,806272011.9230769,1293289404.5384614,424550073.2307692,88634289.46153846,66264735.807692304,772387038.4230769,242306546.42307693
2005-06-12~2005-06-18,807060866.1923077,1292678732.1538463,425281340.4230769,88621803.34615384,66215740.98076923,773112748.4423077,242086430.94230768
2005-06-19~2005-06-25,807849720.4615384,1292068059.7692308,426012607.61538464,88609317.23076923,66166746.15384615,773838458.4615384,241866315.46153846
2005-06-26~2005-07-02,808638574.7307693,1291457387.3846154,426743874.8076923,88596831.11538461,66117751.32692308,774564168.4807693,241646199.98076922
2005-07-03~2005-07-09,809427429.0,1290846715.0,427475142.0,88584345.0,66068756.5,775289878.5,241426084.5
2005-07-10~2005-07-16,810216283.2692307,1290236042.6153846,428206409.1923077,88571858.88461539,66019761.67307692,776015588.5192307,241205969.01923078
2005-07-17~2005-07-23,811005137.5384616,1289625370.2307692,428937676.38461536,88559372.76923077,65970766.84615385,776741298.5384616,240985853.53846154
2005-07-24~2005-07-30,811793991.8076923,1289014697.8461537,429668943.5769231,88546886.65384616,65921772.01923077,777467008.5576923,240765738.05769232
2005-07-31~2005-08-06,812582846.0769231,1288404025.4615386,430400210.7692308,88534400.53846154,65872777.192307696,778192718.5769231,240545622.57692307
