week_range,SeoulPopulation,BusanPopulation,DaeguPopulation,InchenPopulation,GwanguPopulation,DaejeonPopulation,UlsanPopulation,GyeonggiPopulation,GangwonPopulation,ChungcheongbukPopulation,ChungcheongnamPopulation,JeonbukPopulation,JeollanamPopulation,GyeongsangbukPopulation,GyeongsangnamPopulation,JejuPopulation
2003-02-16~2003-02-22,10569546.572510634,3467162.7051269007,2394933.3850846686,2198842.201415391,1363064.4545063304,1356603.955813353,878131.4675602955,10912033.819565378,1453159.2089781305,1455920.90930974,2105356.698271684,1734707.9356695837,1809301.4231907476,2508145.1073103654,2908542.721200761,412318.2850216067
2003-02-23~2003-03-01,10569206.044308493,3467613.711486568,2395397.997216219,2200684.1631567683,1363419.9075599425,1357202.3333103375,878985.566447478,10913827.295850405,1453422.8895558133,1456219.626078153,2105157.6518426347,1735232.5572700927,1809697.4471266936,2508805.6360199307,2909794.737108861,412737.8124505541
2003-03-02~2003-03-08,10568766.026096676,3468191.84303941,2395993.941099506,2203049.1027683336,1363876.07577124,1357970.1223860646,880081.8492185606,10916136.24967223,1453761.3608309804,1456603.2330134534,2104902.458542457,1735905.625508222,1810205.4924806603,2509653.236303591,2911401.972669909,413276.7879443235
2003-03-09~2003-03-15,10568422.081524882,3468640.152428607,2396456.3527864013,2204885.9359782804,1364230.2177129802,1358566.0834513218,880933.0790863952,10917934.479332265,1454024.1911257792,1456901.2381443966,2104704.5376156745,1736427.9989448031,1810599.7613175511,2510311.196924164,2912650.100967882,413695.6668390175
2003-03-16~2003-03-22,10568076.642291365,3469087.2818932235,2396917.80177876,2206720.5254557272,1364583.786043276,1359160.9873276986,881783.0537582653,10919734.788593868,1454286.6494218165,1457198.9319339462,2104507.1090961336,1736949.3888096663,1810993.2622986056,2510968.034005803,2913896.528436425,414114.26199997554
2003-03-23~2003-03-29,10567729.708396127,3469533.2314332584,2397378.288076582,2208552.871200673,1364936.780762128,1359754.8340151946,882631.7732341706,10921537.177457036,1454548.735719092,1457496.3143821028,2104310.172983835,1737469.7951028107,1811385.9954238234,2511623.7475485075,2915141.255075538,414532.5734271978
2003-03-30~2003-04-05,10567381.279839166,3469978.001048713,2397837.8116798676,2210382.9732131185,1365289.201869536,1360347.62351381,883479.2375141112,10923341.64592177,1454810.4500176057,1457793.3854888661,2104113.7292787773,1737989.2178242372,1811777.9606932048,2512278.337552278,2916384.28088522,414950.6011206842
2003-04-06~2003-04-12,10567081.437161623,3470358.2930240277,2398230.9228278487,2211949.8462530198,1365590.8205565729,1360854.8873622897,884204.6364348233,10924889.988370342,1455034.480478542,1458047.7700637586,2103945.7408761247,1738433.654456949,1812113.3197735392,2512838.5204530926,2917448.37785785,415308.6847433521
2003-04-13~2003-04-19,10566730.232804319,3470800.871350975,2398688.658569852,2213775.7813336784,1365942.1763855848,1361445.7135101266,885049.7696365438,10926698.318952272,1455295.5039222126,1458344.2629650773,2103750.211641659,1738951.2505451844,1812503.8590249382,2513491.0238845567,2918688.2449843036,415726.18550275755
2003-04-20~2003-04-26,10566377.533785293,3471242.269753341,2399145.4316173187,2215599.4726818367,1366292.9586031525,1362035.4824690828,885893.6476422996,10928508.729135768,1455556.1553671216,1458640.444525003,2103555.174814435,1739467.8630617012,1812893.6304205006,2514142.4037770866,2919926.4112813273,416143.4025284272
2003-04-27~2003-05-03,10566023.340104545,3471682.488231126,2399601.241970249,2217420.920297494,1366643.1672092762,1362624.1942391584,886736.2704520908,10930321.21892083,1455816.4348132687,1458936.3147435356,2103360.630394453,1739983.4920064996,1813282.6339602266,2514792.6601306824,2921162.8767489204,416560.3358203609
2003-05-04~2003-05-10,10565667.651762074,3472121.5267843306,2400056.0896286424,2219240.1241806513,1366992.802203956,1363211.8488203534,887577.6380659173,10932135.788307462,1456076.3422606543,1459231.8736206747,2103166.5783817125,1740498.1373795797,1813670.8696441157,2515441.7929453435,2922397.6413870826,416976.98537855886
2003-05-11~2003-05-17,10565310.468757879,3472559.3854129543,2400509.9745924994,2221057.0843313076,1367341.8635871918,1363798.4462126675,888417.7504837791,10933952.437295659,1456335.8777092781,1459527.1211564208,2102973.018776214,1741011.7991809417,1814058.3374721685,2516089.802221071,2923630.705195815,417393.35120302084
2003-05-18~2003-05-24,10564951.791091964,3472996.0641169967,2400962.89686182,2222871.800749463,1367690.3513589834,1364383.986416101,889256.6077056762,10935771.16588542,1456595.0411591402,1459822.0573507736,2102779.951577957,1741524.4774105852,1814445.0374443848,2516736.6879578643,2924862.0681751166,417809.433293747
2003-05-25~2003-05-31,10564591.618764324,3473431.5628964584,2401414.8564366037,2224684.2734351186,1368038.265519331,1364968.469430654,890094.2097316086,10937591.97407675,1456853.8326102407,1460116.6822037331,2102587.3767869417,1742036.1720685104,1814830.9695607643,2517382.450155723,2926091.7303249873,418225.2316507373
2003-06-01~2003-06-07,10564281.70999763,3473803.908440923,2401801.484131583,2226236.0356234857,1368336.0211088879,1365468.6134356514,890811.1552917422,10939154.322005259,1457075.3577733939,1460368.9699896509,2102422.7045963253,1742473.984646793,1815161.1573670972,2517935.0663657566,2927144.3727320647,418581.40441355144
2003-06-08~2003-06-14,10563918.761869648,3474237.215931877,2402251.6558450847,2228044.341377354,1368682.8699908394,1366051.133099426,891646.4262394544,10940978.992313784,1457333.458369651,1460663.016637166,2102231.0442759017,1742983.852671527,1815545.6634654945,2518578.741991309,2928370.8761987076,418996.6758364609
2003-06-15~2003-06-21,10563554.319079945,3474669.3434982505,2402700.8648640495,2229850.403398722,1369029.1452613468,1366632.5955743198,892480.4419912022,10942805.742223874,1457591.1869671466,1460956.751943288,2102039.8763627196,1743492.7371245427,1815929.4017080553,2519221.2940779272,2929595.67883592,419411.66352563445
2003-06-22~2003-06-28,10563188.381628519,3475100.291140043,2403149.111188478,2231654.2216875893,1369374.8469204104,1367213.000860333,893313.2025469851,10944634.571735533,1457848.5435658803,1461250.1759080165,2101849.2008567797,1744000.6380058401,1816312.3720947795,2519862.7226256113,2930818.7806437025,419826.3674810721
2003-06-29~2003-07-05,10562820.94951537,3475530.0588572547,2403596.3948183698,2233455.7962439563,1369719.97496803,1367792.3489574653,894144.7079068033,10946465.480848758,1458105.5281658524,1461543.2885313518,2101659.017758081,1744507.555315419,1816694.5746256672,2520503.0276343613,2932040.1816220535,420240.78770277393
2003-07-06~2003-07-12,10562452.0227405,3475958.6466498855,2404042.715753725,2235255.1270678225,1370064.5294042055,1368370.6398657172,894974.958070657,10948298.469563548,1458362.1407670628,1461836.0898132941,2101469.3270666245,1745013.48905328,1817076.0093007183,2521142.209104177,2933259.881770975,420654.92419073987
2003-07-13~2003-07-19,10562081.601303905,3476386.0545179355,2404488.0739945434,2237052.214159188,1370408.5102289368,1368947.8735850882,895803.9530385459,10950133.537879905,1458618.3813695116,1462128.5797538431,2101280.1287824097,1745518.4392194224,1817456.6761199327,2521780.2670350587,2934477.881090465,421068.77694496996
2003-07-20~2003-07-26,10561709.685205588,3476812.2824614043,2404932.4695408256,2238847.057518053,1370751.9174422242,1369524.0501155786,896631.6928104701,10951970.68579783,1458874.2499731984,1462420.758352999,2101091.4229054363,1746022.4058138465,1817836.5750833107,2522417.201427006,2935694.179580525,421482.3459654642
2003-07-27~2003-08-02,10561336.27444555,3477237.3304802924,2405375.902392571,2240639.6571444175,1371094.7510440676,1370099.1694571883,897458.1773864297,10953809.913317319,1459129.7465781237,1462712.6256107616,2100903.2094357046,1746525.3888365524,1818215.706190852,2523053.012280019,2936908.7772411546,421895.6312522226
2003-08-03~2003-08-09,10561015.018451083,3477600.7182299793,2405755.221467803,2242174.385281964,1371388.1518691923,1370591.2874568058,898165.5937037292,10955388.049241394,1459348.4475874125,1462962.5497436535,2100742.275520474,1746955.7342989326,1818540.0645610378,2523597.098765899,2937948.507228882,422249.64995483786
2003-08-10~2003-08-16,10560638.831890702,3478023.57496036,2406196.8664582665,2243962.817976542,1371729.9201926396,1371164.4434476374,898989.7472014687,10957231.138878081,1459603.2533374946,1463253.8387959716,2100554.9765213346,1747456.8906884473,1818917.7696505971,2524230.823046606,2939159.9462062838,422662.4083075154
2003-08-17~2003-08-23,10560261.150668599,3478445.25176616,2406637.548754193,2245749.006938619,1372071.1149046428,1371736.5422495878,899812.6455032434,10959076.308116332,1459857.687088815,1463544.8165068964,2100368.1699294364,1747957.0635062435,1819294.7068843197,2524863.4237883785,2940369.6843542545,423074.882926457
2003-08-24~2003-08-30,10559881.974784773,3478865.7486473788,2407077.268355583,2247532.952168196,1372411.736005202,1372307.583862658,900634.2886090535,10960923.556956152,1460111.7488413737,1463835.4828764282,2100181.85574478,1748456.2527523215,1819670.8762622057,2525494.900991217,2941577.721672795,423487.07381166273
2003-08-31~2003-09-06,10559501.304239225,3479285.065604017,2407516.0252624364,2249314.653665272,1372751.7834943172,1372877.5682868473,901454.6765188989,10962772.885397537,1460365.4385951706,1464125.8379045667,2099996.0339673655,1748954.458426681,1820046.2777842549,2526125.2546551214,2942784.058161905,423898.9809631326
2003-09-07~2003-09-13,10559173.825571464,3479643.541014632,2407891.336384904,2250840.0405491428,1373042.7962228176,1373365.284928676,902156.8671223863,10964359.679254664,1460582.590874921,1464374.4658406377,2099837.1500741206,1749380.7090190505,1820367.4393668764,2526664.6635503364,2943816.707145473,424251.81840692926
2003-09-14~2003-09-20,10558790.379225574,3480060.666682763,2408328.305430475,2252617.5751144323,1373381.7784335369,1373933.3060020867,902974.9239540116,10966212.869813245,1460835.5897738747,1464664.2426633316,2099652.2427672977,1749877.0880602188,1820741.4148709434,2527292.9306419343,2945019.884951355,424663.19862431823
