Week_Num,datetime,Article_Num,Polution,Enviroment_Polution,Biodiversity_Loss,Acid_Rain,Water_Pollution,Climate_Crisis,Accelerated_Global_Warming,Ozone_Layer_Depletion,Hazardous_Substance_Leakage,Carbon_Dioxide,Weekly_News_Count,News_Ratio,tempmax,tempmin,temp,dew,humidity,precip,windspeed,sealevelpressure,moonphase,abnormal_weather_count
32,2000-08-06,13,2.780652307865945,-0.38431779864813875,-0.38431779864813875,0.29389008131916494,-0.38431779864813875,-0.38431779864813875,-0.38431779864813875,-0.38431779864813875,-0.38431779864813875,-0.38431779864813875,33247,0.0003910127229524,87.05714285714285,71.78571428571429,79.5,69.97142857142858,74.54285714285713,0.247,8.542857142857143,1009.4428571428572,0.1,0.0
33,2000-08-13,14,2.729246164068276,-0.4285593150189855,-0.4285593150189855,0.4736708218630893,-0.4285593150189855,-0.4285593150189855,-0.4285593150189855,-0.4285593150189855,-0.4285593150189855,-0.2030017807984668,33247,0.000421090624718,90.45714285714288,74.84285714285714,81.7,72.84285714285714,75.97142857142856,0.4818571428571428,8.9,1010.0857142857144,0.3342857142857142,1.0
34,2000-08-20,16,2.7823921652307466,-0.42157457048950703,-0.42157457048950703,0.08431491409790141,-0.42157457048950703,-0.42157457048950703,-0.42157457048950703,-0.42157457048950703,-0.42157457048950703,0.08431491409790141,33247,0.0004812464282491,87.77142857142857,74.28571428571429,80.3,71.8,76.72857142857143,0.5212857142857142,9.357142857142858,1004.8857142857142,0.5671428571428571,0.0
35,2000-08-27,13,2.6674327673606055,-0.4707234295342246,-0.4707234295342246,0.0523026032815805,-0.4707234295342246,-0.4707234295342246,-0.4707234295342246,-0.4707234295342246,-0.4707234295342246,0.5753286360973856,33247,0.0003910127229524,80.3,70.05714285714285,74.71428571428571,68.95714285714286,83.41428571428571,1.7527142857142857,12.242857142857144,1008.9857142857144,0.8085714285714286,1.0
36,2000-09-03,17,2.7774602993176543,-0.4629100498862757,-0.4629100498862757,-0.23145502494313785,-0.23145502494313785,-0.4629100498862757,-0.4629100498862757,-0.23145502494313785,-0.4629100498862757,0.23145502494313785,33247,0.0005113243300147,85.39999999999999,73.42857142857143,78.87142857142858,71.81428571428572,80.24285714285715,0.7305714285714285,12.914285714285716,1007.9,0.1985714285714285,0.0
37,2000-09-10,8,2.369066484435915,-0.5403134087309982,-0.5403134087309982,1.122189387364381,-0.5403134087309982,-0.5403134087309982,-0.5403134087309982,-0.5403134087309982,-0.5403134087309982,0.2909379893166913,33247,0.0002406232141245,78.27142857142857,64.9,71.52857142857142,61.2,71.34285714285714,0.0495714285714285,8.914285714285715,1011.8142857142856,0.2842857142857143,0.0
38,2000-09-17,11,2.517544074890067,-0.5035088149780134,-0.5035088149780134,1.0070176299560267,-0.2517544074890067,-0.5035088149780134,-0.5035088149780134,-0.5035088149780134,-0.5035088149780134,-0.2517544074890067,33247,0.0003308569194213,70.01428571428572,59.85714285714285,64.97142857142858,55.98571428571428,74.72857142857143,0.9084285714285716,13.871428571428572,1008.2142857142856,0.5128571428571428,0.0
39,2000-09-24,10,2.803897009540725,-0.45062630510475943,-0.45062630510475943,-0.20027835782433753,-0.20027835782433753,-0.45062630510475943,-0.45062630510475943,-0.20027835782433753,-0.45062630510475943,0.05006958945608437,33588,0.0002977253781112,77.31428571428572,57.07142857142857,67.07142857142857,57.114285714285714,72.57142857142857,0.0,7.028571428571429,1017.2,0.76,0.0
40,2000-10-01,22,2.818194011066046,-0.3942551207190842,-0.3942551207190842,-0.2482347056379419,-0.3942551207190842,-0.3942551207190842,-0.3942551207190842,-0.2482347056379419,-0.3942551207190842,0.043806124524342654,35643,0.0006172319950621,75.84285714285714,55.6,65.84285714285714,54.08571428571429,68.95714285714287,0.0144285714285714,6.757142857142857,1016.9428571428572,0.4328571428571428,0.0
41,2000-10-08,15,2.820626875632952,-0.38008447260302186,-0.38008447260302186,-0.18004001333827352,-0.38008447260302186,-0.38008447260302186,-0.38008447260302186,-0.38008447260302186,-0.38008447260302186,0.020004445926474854,35643,0.0004208399966332,73.65714285714286,53.2,64.15714285714286,54.55714285714286,73.52857142857144,0.0068571428571428,6.985714285714286,1016.7571428571428,0.2371428571428571,0.0
42,2000-10-15,15,2.659215781283755,-0.4834937784152282,-0.4834937784152282,0.2417468892076141,-0.4834937784152282,-0.4834937784152282,-0.4834937784152282,-0.4834937784152282,-0.4834937784152282,0.4834937784152282,35643,0.0004208399966332,64.81428571428572,47.34285714285714,56.51428571428572,44.614285714285714,67.4,0.023,8.814285714285715,1019.6857142857144,0.4628571428571429,0.0
43,2000-10-22,15,2.7665355606361657,-0.4328593054056586,-0.4328593054056586,0.13173978860172222,-0.4328593054056586,-0.4328593054056586,-0.4328593054056586,-0.4328593054056586,-0.4328593054056586,0.13173978860172222,35643,0.0004208399966332,65.47142857142858,43.18571428571429,55.05714285714286,44.02857142857143,69.32857142857144,0.0034285714285714,9.228571428571428,1022.0,0.7071428571428572,0.0
44,2000-10-29,36,2.6957292923216465,-0.4627546196628439,-0.4627546196628439,-0.16894216273405413,-0.31584839119844904,-0.4627546196628439,-0.4627546196628439,-0.4627546196628439,-0.4627546196628439,0.5655889795879204,35643,0.0010100159919198,61.771428571428565,44.81428571428571,53.82857142857143,41.12857142857143,64.57142857142857,0.149,9.257142857142856,1020.3142857142856,0.53,0.0
45,2000-11-05,18,2.7886143266887404,-0.41668949709142106,-0.41668949709142106,0.06410607647560322,-0.41668949709142106,-0.41668949709142106,-0.41668949709142106,-0.41668949709142106,-0.41668949709142106,0.06410607647560322,35643,0.0005050079959599,61.5,38.58571428571429,50.642857142857146,37.02857142857143,63.02857142857143,0.0,8.342857142857143,1020.9428571428572,0.1857142857142857,0.0
46,2000-11-12,16,2.794378880233237,-0.4093676066583723,-0.4093676066583723,-0.053395774781526795,-0.4093676066583723,-0.4093676066583723,-0.4093676066583723,-0.4093676066583723,-0.4093676066583723,0.12459014115689596,35643,0.0004488959964088,49.75714285714286,28.928571428571427,40.25714285714286,24.65714285714285,56.785714285714285,0.0175714285714285,10.485714285714286,1024.742857142857,0.41,0.0
47,2000-11-19,26,2.6153885161462567,-0.5013957258933238,-0.5013957258933238,0.447190782553505,-0.5013957258933238,-0.5013957258933238,-0.5013957258933238,-0.5013957258933238,-0.5013957258933238,0.447190782553505,35643,0.0007294559941643,50.4,32.67142857142857,42.142857142857146,30.057142857142857,64.82857142857144,0.0579999999999999,9.385714285714286,1027.9714285714283,0.65,0.0
