datetime,Residential,General,Educational,Industrial,Agricultural,Streetlights,Other,Total Electricity Usage
2015-03-15,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-03-22,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-03-29,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-04-05,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-04-12,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-04-19,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-04-26,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-05-03,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-05-10,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-05-17,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-05-24,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-05-31,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-06-07,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-06-14,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-06-21,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-06-28,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-07-05,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
