datetime,CO,Nox,Sox,TSP,PM-10,VOCs,NH3
2008-03-23,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-03-30,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-04-06,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-04-13,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-04-20,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-04-27,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-05-04,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-05-11,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-05-18,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-05-25,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-06-01,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-06-08,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-06-15,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-06-22,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-06-29,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-07-06,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-07-13,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-07-20,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-07-27,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-08-03,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-08-10,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-08-17,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-08-24,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-08-31,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-09-07,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-09-14,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-09-21,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-09-28,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-10-05,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-10-12,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-10-19,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-10-26,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-11-02,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-11-09,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-11-16,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-11-23,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-11-30,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-12-07,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-12-14,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-12-21,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-12-28,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2009-01-04,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-01-11,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-01-18,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-01-25,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-02-01,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-02-08,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-02-15,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-02-22,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-03-01,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-03-08,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-03-15,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-03-22,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-03-29,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-04-05,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-04-12,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-04-19,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-04-26,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-05-03,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-05-10,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-05-17,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-05-24,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-05-31,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-06-07,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-06-14,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-06-21,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-06-28,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-07-05,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-07-12,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-07-19,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-07-26,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-08-02,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-08-09,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-08-16,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-08-23,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-08-30,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-09-06,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-09-13,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-09-20,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-09-27,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-10-04,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-10-11,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
2009-10-18,15730373.826923076,19506115.28846154,7456284.75,2990335.5576923075,1994912.8461538462,16368505.923076924,5350023.884615385
