주차,기간,기사 갯수,오염,환경 오염,생물 멸종,산성비,수질 오염,기후 위기,온난화 가속화,오존층 파괴,유해 물질 누출,이산화탄소,주간 뉴스 수,뉴스 비율
203,20031117 - 20031123,15,17,0,0,2,1,0,0,0,0,4,39907,0.0003758739068333876
204,20031124 - 20031130,3,4,0,0,0,0,0,0,0,0,0,39907,7.517478136667752e-05
205,20031201 - 20031207,16,13,0,0,2,0,0,0,0,0,7,39907,0.0004009321672889468
206,20031208 - 20031214,11,12,0,0,0,0,0,0,0,0,3,39907,0.00027564086501115093
207,20031215 - 20031221,13,22,0,0,0,0,0,0,0,0,0,39907,0.00032575738592226927
208,20031222 - 20031228,25,31,0,0,4,1,0,0,0,0,9,39907,0.0006264565113889794
209,20031229 - 20040104,9,12,0,0,1,0,0,0,0,0,3,39686,0.00022678022476440055
210,20040105 - 20040111,10,8,0,0,1,0,0,0,0,0,4,39520,0.00025303643724696357
211,20040112 - 20040118,12,12,0,0,0,0,0,0,0,0,1,39520,0.0003036437246963563
212,20040119 - 20040125,8,8,0,0,1,0,0,0,0,0,1,39520,0.00020242914979757084
213,20040126 - 20040201,30,36,0,0,0,0,0,0,0,0,18,39520,0.0007591093117408907
214,20040202 - 20040208,9,13,0,0,0,0,0,0,1,0,1,39520,0.0002277327935222672
215,20040209 - 20040215,27,33,0,0,0,1,0,0,1,0,3,39520,0.0006831983805668016
216,20040216 - 20040222,13,18,0,0,1,1,0,0,0,0,3,39520,0.0003289473684210526
217,20040223 - 20040229,19,23,0,0,1,1,0,0,0,0,4,39520,0.0004807692307692308
218,20040301 - 20040307,19,23,0,0,2,1,0,0,0,0,2,39520,0.0004807692307692308
219,20040308 - 20040314,12,15,0,0,2,0,0,0,0,0,1,39520,0.0003036437246963563
220,20040315 - 20040321,17,14,0,0,0,0,0,0,0,0,6,39520,0.00043016194331983807
221,20040322 - 20040328,15,20,0,0,1,0,0,0,0,0,0,39520,0.00037955465587044535
222,20040329 - 20040404,12,13,0,0,4,0,0,0,0,0,1,40162,0.00029878990090134955
223,20040405 - 20040411,18,28,0,0,1,0,0,0,0,0,0,40643,0.0004428806928622395
224,20040412 - 20040418,3,4,0,0,1,0,0,0,0,0,1,40643,7.381344881037324e-05
225,20040419 - 20040425,22,27,0,0,0,1,0,0,0,0,2,40643,0.0005412986246094039
226,20040426 - 20040502,19,20,0,0,0,0,0,0,0,0,6,40643,0.00046748517579903057
227,20040503 - 20040509,9,11,0,0,0,2,0,0,0,0,4,40643,0.00022144034643111976
228,20040510 - 20040516,11,13,0,0,0,0,0,0,0,0,1,40643,0.00027064931230470193
229,20040517 - 20040523,12,13,0,0,0,1,0,0,1,0,4,40643,0.000295253795241493
230,20040524 - 20040530,15,18,0,0,0,1,0,0,0,0,5,40643,0.0003690672440518663
231,20040531 - 20040606,15,21,0,0,1,1,0,0,0,0,6,40643,0.0003690672440518663
232,20040607 - 20040613,16,14,0,0,2,0,0,0,0,0,3,40643,0.0003936717269886573
233,20040614 - 20040620,16,24,0,0,0,0,0,0,0,0,3,40643,0.0003936717269886573
234,20040621 - 20040627,10,10,0,0,0,0,0,0,0,0,7,40643,0.00024604482936791083
235,20040628 - 20040704,19,25,0,0,4,0,0,0,0,0,7,39386,0.00048240491545219113
236,20040705 - 20040711,20,28,0,0,0,1,0,0,0,0,12,38444,0.0005202372281760483
237,20040712 - 20040718,12,14,0,0,0,0,0,0,0,0,2,38444,0.00031214233690562894
238,20040719 - 20040725,10,9,0,0,0,1,0,0,0,0,5,38444,0.00026011861408802413
239,20040726 - 20040801,18,26,0,0,1,1,0,0,0,0,1,38444,0.00046821350535844344
240,20040802 - 20040808,25,28,0,0,3,0,0,0,0,0,8,38444,0.0006502965352200603
241,20040809 - 20040815,25,33,0,0,9,0,0,0,0,0,4,38444,0.0006502965352200603
